peak_omega,amp_norm,nearest_zero,abs_gap
13.784913985150228,0.411987329546997,14.134725141,0.34981115584977296
14.09820748481273,1.0,14.134725141,0.036517656187269765
14.411500984475236,0.5957494051614245,14.134725141,0.2767758434752352
20.677370977725342,0.29047689713579866,21.022039639,0.3446686612746568
20.990664477387845,0.6678797041187615,21.022039639,0.03137516161215359
21.30395797705035,0.3942662270771886,21.022039639,0.2819183380503496
24.750186473337905,0.3669045545796193,25.01085758,0.2606711066620946
25.063479973000412,0.5585489745425871,25.01085758,0.05262239300041216
30.389469467263,0.4544087230093943,30.424876126,0.03540665873699922
30.70276296692551,0.2703439956228635,30.424876126,0.27788684092550753
32.895817464563045,0.43111394372632705,32.935061588,0.03924412343695849
33.20911096422555,0.26000501766541384,32.935061588,0.27404937622554826
37.59521995950062,0.38607094632432243,37.586178159,0.009041800500618535
40.72815495612567,0.2648930396879434,40.918719012,0.1905640558743258
41.04144845578818,0.3113082940057459,40.918719012,0.12272944378818096
43.23450295342571,0.3176965239785747,43.327073281,0.09257032757428618
43.54779645308822,0.2361544655692891,43.327073281,0.22072317208822057
47.93390544836329,0.2881192103281304,48.005150881,0.07124543263670802
49.81366644633832,0.2839324068674359,49.773832478,0.03983396833831421
52.94660144296337,0.2675406701006028,49.773832478,3.1727689649633675
